ncaa_name,espn_name,kaggle_name,conference,primary_color,secondary_color,tertiary_color,color_4,color_5,color_6,logo_url,color_3
Coastal Carolina,C. Carolina,Coastal Car,Sunbelt,#006F71,#A27752,#111111,,,,https://upload.wikimedia.org/wikipedia/en/thumb/e/ef/Coastal_Carolina_Chanticleers_logo.svg/214px-Coastal_Carolina_Chanticleers_logo.svg.png,
Col. of Charleston,Charleston,Col Charleston,CAA,#76232F,#FFFFFF,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/College_of_Charleston_Cougars_logo.svg/206px-College_of_Charleston_Cougars_logo.svg.png,
Colgate,Colgate,Colgate,Patriot,#862633,#C8C7C7,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Colgate_Raiders_logo.svg/189px-Colgate_Raiders_logo.svg.png,
Colorado,Colorado,Colorado,Pac 12,#CFB87C,#000000,#565A5C,#A2A4A3,#4B92DB,,https://upload.wikimedia.org/wikipedia/en/thumb/d/d3/Colorado_Buffaloes_logo.svg/320px-Colorado_Buffaloes_logo.svg.png,
Colorado St.,Colorado State,Colorado St,MWC,#1E4D2B,#C8C372,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Colorado_State_Rams_logo.svg/240px-Colorado_State_Rams_logo.svg.png,
Columbia,Columbia,Columbia,Ivy,#9BCBEB,#003865,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/5/5f/Columbia_Lions_logo.svg/206px-Columbia_Lions_logo.svg.png,
Coppin St.,Coppin State,Coppin St,MEAC,#003056,#FFC915,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/8/85/Coppin_State_Eagles_logo.svg/320px-Coppin_State_Eagles_logo.svg.png,
Cornell,Cornell,Cornell,Ivy,#B31B1B,#5E3920,#89572E,#000000,,,https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Cornell_Big_Red_logo.svg/231px-Cornell_Big_Red_logo.svg.png,
Creighton,Creighton,Creighton,Big East,#005CA9,#00235D,#6CADDE,#828282,#C8C8C8,#8A8D8F,https://upload.wikimedia.org/wikipedia/en/thumb/6/6f/Creighton_Bluejays_logo.svg/238px-Creighton_Bluejays_logo.svg.png,
CSU Bakersfield,CSU Bakersfield,CS Bakersfield,WAC,#005DAA,#FFD200,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Cal_State_Bakersfield_Roadrunners_logo.svg/320px-Cal_State_Bakersfield_Roadrunners_logo.svg.png,
CSUN,CSU Northridge,CS Northridge,Big West,#CE1126,#D1CEC6,#000000,,,,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/CSUN_Matadors_logo.svg/188px-CSUN_Matadors_logo.svg.png,
Dartmouth,Dartmouth,Dartmouth,Ivy,#046A38,#000000,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Dartmouth_College_Big_Green_logo.svg/189px-Dartmouth_College_Big_Green_logo.svg.png,
Davidson,Davidson,Davidson,A-10,#AC1A2F,#000000,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Davidson_Wildcats_logo.svg/240px-Davidson_Wildcats_logo.svg.png,
Dayton,Dayton,Dayton,A-10,#CE1141,#004B8D,#F80228,#0200D1,,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Dayton_Flyers_logo.svg/320px-Dayton_Flyers_logo.svg.png,
Delaware,Delaware,Delaware,CAA,#00539F,#FFD200,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/Delaware_Fightin%27_Blue_Hens_logo.svg/320px-Delaware_Fightin%27_Blue_Hens_logo.svg.png,
Delaware St.,Delaware State,Delaware St,MEAC,#EE3124,#0099CC,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/d/db/Delaware_State_Hornets_logo.svg/316px-Delaware_State_Hornets_logo.svg.png,
Denver,Denver,Denver,Summit,#8B2332,#8B6F4B,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Denver_Pioneers_logo.svg/320px-Denver_Pioneers_logo.svg.png,
DePaul,DePaul,DePaul,Big East,#005EB8,#E4002B,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/7/79/DePaul_Blue_Demons_logo.svg/309px-DePaul_Blue_Demons_logo.svg.png,
Detroit Mercy,Detroit Mercy,Detroit,Horizon,#A6093D,#002D72,#D7D2CB,,,,https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Detroit_Titans_logo.svg/320px-Detroit_Titans_logo.svg.png,
Dixie St.,Dixie State,Dixie St,WAC,BA1C21,#ADA1A2,,,,,https://upload.wikimedia.org/wikipedia/en/6/6c/Dixie_State_Trailblazers_logo.svg,881518
Drake,Drake,Drake,MVC,#004477,#999999,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Drake_Bulldogs_%22D%22_logo.svg/261px-Drake_Bulldogs_%22D%22_logo.svg.png,
Drexel,Drexel,Drexel,CAA,#07294D,#FFC600,,,,,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Drexel_Dragons_logo.svg/308px-Drexel_Dragons_logo.svg.png,
Duke,Duke,Duke,ACC,#001A57,#FFFFFF,#003366,#0736A4,#235F9C,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Duke_Athletics_logo.svg/200px-Duke_Athletics_logo.svg.png,
